city,year,citytemp,globaltemp
San Jose,1849,14.12,7.98
San Jose,1850,13.80,7.90
San Jose,1851,14.39,8.18
San Jose,1852,13.81,8.10
San Jose,1853,14.40,8.04
San Jose,1854,13.98,8.21
San Jose,1855,14.20,8.11
San Jose,1856,14.10,8.00
San Jose,1857,14.78,7.76
San Jose,1858,14.19,8.10
San Jose,1859,13.71,8.25
San Jose,1860,13.81,7.96
San Jose,1861,14.88,7.85
San Jose,1862,14.43,7.56
San Jose,1863,14.43,8.11
San Jose,1864,15.18,7.98
San Jose,1865,14.32,8.18
San Jose,1866,14.67,8.29
San Jose,1867,14.46,8.44
San Jose,1868,14.25,8.25
San Jose,1869,14.57,8.43
San Jose,1870,14.19,8.20
San Jose,1871,14.34,8.12
San Jose,1872,14.63,8.19
San Jose,1873,14.46,8.35
San Jose,1874,14.09,8.43
San Jose,1875,14.76,7.86
San Jose,1876,14.44,8.08
San Jose,1877,15.03,8.54
San Jose,1878,14.37,8.83
San Jose,1879,14.20,8.17
San Jose,1880,13.22,8.12
San Jose,1881,14.39,8.27
San Jose,1882,13.58,8.13
San Jose,1883,13.93,7.98
San Jose,1884,14.05,7.77
San Jose,1885,15.05,7.92
San Jose,1886,14.58,7.95
San Jose,1887,14.38,7.91
San Jose,1888,14.70,8.09
San Jose,1889,14.81,8.32
San Jose,1890,14.05,7.97
San Jose,1891,14.46,8.02
San Jose,1892,14.05,8.07
San Jose,1893,13.40,8.06
San Jose,1894,13.80,8.16
San Jose,1895,13.95,8.15
San Jose,1896,14.22,8.21
San Jose,1897,13.81,8.29
San Jose,1898,13.77,8.18
San Jose,1899,14.04,8.40
San Jose,1900,14.64,8.50
San Jose,1901,14.34,8.54
San Jose,1902,14.07,8.30
San Jose,1903,14.12,8.22
San Jose,1904,14.50,8.09
San Jose,1905,14.39,8.23
San Jose,1906,14.81,8.38
San Jose,1907,14.34,7.95
San Jose,1908,14.01,8.19
San Jose,1909,14.05,8.18
San Jose,1910,14.17,8.22
San Jose,1911,13.46,8.18
San Jose,1912,13.95,8.17
San Jose,1913,14.38,8.30
San Jose,1914,14.33,8.59
San Jose,1915,14.30,8.59
San Jose,1916,13.61,8.23
San Jose,1917,14.06,8.02
San Jose,1918,14.14,8.13
San Jose,1919,13.60,8.38
San Jose,1920,13.72,8.36
San Jose,1921,14.24,8.57
San Jose,1922,13.61,8.41
San Jose,1923,14.13,8.42
San Jose,1924,14.10,8.51
San Jose,1925,14.34,8.53
San Jose,1926,15.14,8.73
San Jose,1927,14.24,8.52
San Jose,1928,14.32,8.63
San Jose,1929,14.25,8.24
San Jose,1930,14.25,8.63
San Jose,1931,14.93,8.72
San Jose,1932,14.24,8.71
San Jose,1933,13.93,8.34
San Jose,1934,15.31,8.63
San Jose,1935,14.12,8.52
San Jose,1936,15.13,8.55
San Jose,1937,14.36,8.70
San Jose,1938,14.35,8.86
San Jose,1939,14.81,8.76
San Jose,1940,15.12,8.76
San Jose,1941,14.98,8.77
San Jose,1942,14.20,8.73
San Jose,1943,14.72,8.76
San Jose,1944,14.17,8.85
San Jose,1945,14.41,8.58
San Jose,1946,13.83,8.68
San Jose,1947,14.51,8.80
San Jose,1948,13.65,8.75
San Jose,1949,13.90,8.59
San Jose,1950,14.66,8.37
San Jose,1951,14.06,8.63
San Jose,1952,14.11,8.64
San Jose,1953,14.42,8.87
San Jose,1954,14.18,8.56
San Jose,1955,13.74,8.63
San Jose,1956,14.08,8.28
San Jose,1957,14.59,8.73
San Jose,1958,15.41,8.77
San Jose,1959,15.39,8.73
San Jose,1960,14.59,8.58
San Jose,1961,14.65,8.80
San Jose,1962,14.22,8.75
San Jose,1963,14.19,8.86
San Jose,1964,14.24,8.41
San Jose,1965,14.14,8.53
San Jose,1966,14.74,8.60
San Jose,1967,14.50,8.70
San Jose,1968,14.66,8.52
San Jose,1969,14.51,8.60
San Jose,1970,14.76,8.70
San Jose,1971,13.89,8.60
San Jose,1972,14.25,8.50
San Jose,1973,14.58,8.95
San Jose,1974,14.41,8.47
San Jose,1975,13.82,8.74
San Jose,1976,14.72,8.35
San Jose,1977,14.63,8.85
San Jose,1978,14.96,8.69
San Jose,1979,14.99,8.73
San Jose,1980,14.74,8.98
San Jose,1981,15.22,9.17
San Jose,1982,14.00,8.64
San Jose,1983,15.07,9.03
San Jose,1984,14.97,8.69
San Jose,1985,14.23,8.66
San Jose,1986,15.00,8.83
San Jose,1987,14.95,8.99
San Jose,1988,15.08,9.20
San Jose,1989,14.45,8.92
San Jose,1990,14.73,9.23
San Jose,1991,14.50,9.18
San Jose,1992,15.53,8.84
San Jose,1993,14.97,8.87
San Jose,1994,14.21,9.04
San Jose,1995,15.31,9.35
San Jose,1996,15.56,9.04
San Jose,1997,15.75,9.20
San Jose,1998,14.38,9.52
San Jose,1999,14.41,9.29
San Jose,2000,15.02,9.20
San Jose,2001,15.25,9.41
San Jose,2002,15.00,9.57
San Jose,2003,15.43,9.53
San Jose,2004,15.37,9.32
San Jose,2005,15.17,9.70
San Jose,2006,15.02,9.53
San Jose,2007,14.94,9.73
San Jose,2008,15.05,9.43
San Jose,2009,15.02,9.51
San Jose,2010,14.67,9.70
San Jose,2011,14.50,9.52
San Jose,2012,15.05,9.51
San Jose,2013,16.23,9.61
